seed,executed_steps,success,error,action_smoothness_mean,action_smoothness_max,prediction_inconsistency_mean,prediction_inconsistency_max
1,274,True,,0.02971066503965504,1.0201789140701294,0.08399626397060388,0.48577114939689636
2,252,True,,0.03742762833892366,1.0200525522232056,0.0840185279419935,0.4742650091648102
3,243,True,,0.0356961919847695,1.02009916305542,0.06370604343804692,0.4960249364376068
4,364,True,,0.024395348469870418,1.015304684638977,0.08831138999173135,0.48207640647888184
5,400,False,初始化错误,0.032483052152263256,0.5671376585960388,0.18208726701842515,0.45935630798339844
6,400,False,未夹住,0.027518027513999874,0.5949406027793884,0.25855788485821624,0.5572752356529236
7,400,False,超步数,0.016383936547587876,0.5458520650863647,0.06741568454328858,0.4750620126724243
8,311,True,,0.03242774688208761,1.0087050199508667,0.09273333284222791,0.492480993270874
9,273,True,,0.03699460070749731,1.018642544746399,0.0821982382570722,0.4533320367336273
10,221,True,,0.051194699032401494,1.0165724754333496,0.09681691647591915,0.4822443723678589
11,243,True,,0.03943418741730342,1.0160375833511353,0.07008232185155276,0.46939563751220703
12,400,False,未夹住,0.05163539366198197,0.6320164203643799,0.1911723528426131,0.5439959764480591
13,400,False,未夹住,0.033941495687952315,0.5204238891601562,0.1879510961818441,0.4942421019077301
14,254,True,,0.03580296409648582,1.0095659494400024,0.07584816689709784,0.5002221465110779
15,391,True,,0.02739558654691045,1.0151400566101074,0.0545078324739081,0.46153441071510315
16,400,False,未夹住,0.0570101983036162,0.6517064571380615,0.238226848605432,0.5438845157623291
17,85,True,,0.011374484647863678,0.20636853575706482,0.1098189156036824,0.24973350763320923
18,400,False,未夹住,0.024459578975452166,0.5639488101005554,0.20957601008315882,0.4985399544239044
19,246,True,,0.030071643858135925,1.0205708742141724,0.07862322327813932,0.4899737238883972
20,400,False,未夹住,0.05133721383053921,0.5785683393478394,0.28128552623559955,0.5649683475494385